sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
SRR5935832,SRR5935832,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935832_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935832_2.fastq.gz,
SRR5935833,SRR5935833,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935833_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935833_2.fastq.gz,
SRR5935834,SRR5935834,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935834_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935834_2.fastq.gz,
SRR5935835,SRR5935835,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935835_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935835_2.fastq.gz,
SRR5935836,SRR5935836,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935836_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935836_2.fastq.gz,
SRR5935837,SRR5935837,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935837_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935837_2.fastq.gz,
SRR5935838,SRR5935838,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935838_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935838_2.fastq.gz,
SRR5935839,SRR5935839,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935839_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935839_2.fastq.gz,
SRR5935840,SRR5935840,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935840_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935840_2.fastq.gz,
SRR5935841,SRR5935841,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935841_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935841_2.fastq.gz,
SRR5935842,SRR5935842,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935842_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935842_2.fastq.gz,
SRR5935843,SRR5935843,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935843_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935843_2.fastq.gz,
SRR5935844,SRR5935844,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935844_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935844_2.fastq.gz,
SRR5935845,SRR5935845,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935845_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935845_2.fastq.gz,
SRR5935846,SRR5935846,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935846_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935846_2.fastq.gz,
SRR5935847,SRR5935847,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935847_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935847_2.fastq.gz,
SRR5935848,SRR5935848,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935848_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935848_2.fastq.gz,
SRR5935849,SRR5935849,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935849_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935849_2.fastq.gz,
SRR5935850,SRR5935850,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935850_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935850_2.fastq.gz,
SRR5935851,SRR5935851,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935851_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935851_2.fastq.gz,
