sample,run,instrument,fastq_1,fastq_2
SRR5935815,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935815_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935815_2.fastq.gz
SRR5935816,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935816_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935816_2.fastq.gz
SRR5935817,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935817_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935817_2.fastq.gz
SRR5935818,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935818_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935818_2.fastq.gz
SRR5935819,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935819_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935819_2.fastq.gz
SRR5935820,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935820_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935820_2.fastq.gz
SRR5935821,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935821_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935821_2.fastq.gz
SRR5935822,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935822_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935822_2.fastq.gz
SRR5935823,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935823_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935823_2.fastq.gz
SRR5935824,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935824_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935824_2.fastq.gz
SRR5935825,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935825_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935825_2.fastq.gz
SRR5935826,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935826_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935826_2.fastq.gz
SRR5935827,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935827_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935827_2.fastq.gz
SRR5935828,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935828_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935828_2.fastq.gz
SRR5935829,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935829_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935829_2.fastq.gz
SRR5935830,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935830_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935830_2.fastq.gz
SRR5935831,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935831_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935831_2.fastq.gz
SRR5935832,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935832_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935832_2.fastq.gz
SRR5935833,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935833_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935833_2.fastq.gz
SRR5935834,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935834_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935834_2.fastq.gz
SRR5935835,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935835_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935835_2.fastq.gz
SRR5935836,PRJNA398089,ILLUMINA,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935836_1.fastq.gz,/scratch/Shares/biotracker_csci6118/PRJNA398089/SRR5935836_2.fastq.gz
